timestamp_us,ax,ay,az,gx,gy,gz,dbfs
1347547551,-8.202535,0.107739,-3.258508,-0.026380,-0.005596,0.025980,-50.73
1347557566,-8.178593,0.165200,-3.301604,-0.024381,0.000266,0.024914,-50.38
1347567545,-8.149862,0.134075,-3.253720,-0.026513,-0.001865,0.024115,-48.98
1347577573,-8.226477,0.112527,-3.303998,-0.025980,0.000666,0.024381,-52.19
1347587574,-8.200141,0.102951,-3.359065,-0.027046,-0.000666,0.021583,-51.32
1347597578,-8.240842,0.098162,-3.251326,-0.025714,-0.003064,0.025714,-50.80
1347607545,-8.183381,0.090980,-3.318364,-0.025980,-0.002665,0.024381,-50.36
1347617557,-8.212111,0.088585,-3.313575,-0.025580,-0.003730,0.024914,-50.08
1347627542,-8.173804,0.131681,-3.315969,-0.031443,-0.003997,0.025847,-50.06
1347637571,-8.214506,0.112527,-3.270479,-0.028645,-0.004930,0.026380,-52.26
1347647556,-8.173804,0.105345,-3.260903,-0.026513,-0.003331,0.025314,-50.31
1347657571,-8.257602,0.107739,-3.263297,-0.027446,-0.001066,0.024248,-55.37
1347667540,-8.233660,0.119710,-3.344700,-0.028112,-0.004397,0.023715,-49.33
1347677563,-8.169016,0.079009,-3.332729,-0.027312,-0.003997,0.024381,-50.63
1347687558,-8.180987,0.134075,-3.265691,-0.027179,-0.001998,0.026646,-50.67
1347697569,-8.216900,0.112527,-3.272874,-0.026380,-0.002531,0.023049,-51.29
1347707570,-8.147469,0.146046,-3.284845,-0.028112,-0.003864,0.026513,-50.52
1347717564,-8.173804,0.052672,-3.272874,-0.029178,0.000266,0.025047,-51.59
1347727556,-8.236053,0.071826,-3.244143,-0.025580,-0.003464,0.024781,-49.63
1347737571,-8.195353,0.079009,-3.303998,-0.025314,-0.001732,0.024381,-52.46
1347747572,-8.183381,0.090980,-3.263297,-0.024381,-0.001732,0.023182,-52.77
1347757554,-8.188169,0.114922,-3.323152,-0.026779,-0.003331,0.025447,-49.89
1347767560,-8.202535,0.088585,-3.280056,-0.026247,-0.005329,0.027446,-52.33
1347777536,-8.216900,0.174777,-3.330335,-0.028378,-0.003198,0.024648,-49.00
1347787571,-8.214506,0.110133,-3.251326,-0.024914,-0.000666,0.022116,-55.28
1347797560,-8.166622,0.107739,-3.361459,-0.031975,-0.004130,0.024248,-51.16
1347807588,-8.214506,0.119710,-3.315969,-0.026513,-0.002132,0.025980,-51.62
1347817563,-8.180987,0.129287,-3.265691,-0.027712,-0.002931,0.026779,-51.79
1347827561,-8.204929,0.124498,-3.371036,-0.027312,-0.002398,0.024781,-51.03
1347837565,-8.178593,0.100556,-3.330335,-0.025980,0.003198,0.024248,-51.58
1347847548,-8.207323,0.138864,-3.354277,-0.027446,-0.004263,0.025314,-50.84
1347857566,-8.133103,0.129287,-3.311181,-0.030776,-0.002265,0.024115,-51.89
1347867552,-8.207323,0.071826,-3.344700,-0.026779,-0.000799,0.027312,-50.21
1347877561,-8.169016,0.124498,-3.275268,-0.027046,-0.006795,0.027312,-50.72
1347887566,-8.236053,0.126893,-3.315969,-0.029444,-0.000133,0.026380,-50.65
1347897543,-8.207323,0.102951,-3.241749,-0.028511,-0.001599,0.025447,-50.79
1347907553,-8.171411,0.098162,-3.222595,-0.025447,-0.004796,0.023982,-50.35
1347917566,-8.238448,0.150835,-3.387795,-0.027179,-0.002665,0.025047,-51.08
1347927559,-8.180987,0.102951,-3.332729,-0.031043,-0.002132,0.024648,-54.05
1347937540,-8.188169,0.134075,-3.268085,-0.026513,-0.002531,0.023182,-50.62
1347947552,-8.178593,0.071826,-3.311181,-0.024381,-0.002798,0.027979,-50.75
1347957565,-8.224083,0.062249,-3.270479,-0.027446,-0.003464,0.028112,-49.84
1347967561,-8.161834,0.136469,-3.292027,-0.028511,-0.002931,0.023315,-51.65
1347977561,-8.207323,0.112527,-3.287239,-0.029577,-0.005862,0.025181,-50.78
1347987552,-8.221688,0.136469,-3.268085,-0.026646,-0.005862,0.023982,-50.68
1347997552,-8.154651,0.062249,-3.402161,-0.027579,-0.002398,0.025714,-50.51
1348007546,-8.180987,0.117316,-3.363853,-0.029044,-0.001599,0.027179,-50.62
1348017565,-8.188169,0.069432,-3.270479,-0.026247,-0.000799,0.025314,-50.97
1348027537,-8.226477,0.098162,-3.320758,-0.025980,-0.007994,0.026380,-49.44
1348037573,-8.231265,0.100556,-3.282450,-0.029977,-0.005329,0.025447,-53.49
1348047552,-8.152257,0.114922,-3.337517,-0.027845,0.008926,0.025980,-50.49
1348057541,-8.197746,0.083797,-3.361459,-0.028511,-0.003064,0.026113,-49.38
1348067542,-8.137892,0.045490,-3.303998,-0.024648,-0.008793,0.021717,-50.22
1348077570,-8.183381,0.169988,-3.313575,-0.027845,-0.001732,0.024914,-51.69
1348087557,-8.197746,0.129287,-3.263297,-0.030243,0.003331,0.025314,-50.73
1348097570,-8.166622,0.177171,-3.351882,-0.025980,-0.004663,0.025714,-50.54
1348107570,-8.154651,0.162806,-3.265691,-0.028378,-0.005329,0.025980,-52.55
1348117570,-8.185776,0.134075,-3.227384,-0.025980,-0.006395,0.025047,-52.61
1348127540,-8.180987,0.129287,-3.349488,-0.027579,-0.003331,0.023715,-50.92
1348137543,-8.185776,0.172383,-3.241749,-0.027046,-0.003064,0.024248,-49.81
1348147570,-8.135497,0.064643,-3.287239,-0.025181,-0.001199,0.024381,-55.17
1348157566,-8.178593,0.090980,-3.301604,-0.029844,-0.002398,0.025181,-51.49
1348167552,-8.255207,0.112527,-3.327940,-0.026380,-0.004930,0.025181,-50.99
1348177551,-8.188169,0.146046,-3.277662,-0.025447,-0.001599,0.026513,-51.12
1348187575,-8.207323,0.112527,-3.268085,-0.027845,-0.003064,0.024648,-54.52
1348197573,-8.149862,0.129287,-3.174711,-0.027579,-0.003597,0.027579,-52.61
1348207564,-8.214506,0.110133,-3.253720,-0.026247,-0.001998,0.026646,-48.92
1348217570,-8.183381,0.172383,-3.253720,-0.025047,-0.005063,0.023715,-55.70
1348227569,-8.243237,0.124498,-3.208230,-0.027845,0.000000,0.026380,-54.06
1348237557,-8.171411,0.117316,-3.435679,-0.026646,-0.001599,0.024381,-51.67
1348247545,-8.183381,0.100556,-3.306392,-0.027046,-0.005329,0.028511,-50.67
1348257558,-8.106767,0.107739,-3.289633,-0.027845,-0.003331,0.024381,-50.43
1348267576,-8.154651,0.093374,-3.236961,-0.024781,0.001732,0.025047,-51.34
1348277583,-8.209718,0.083797,-3.380613,-0.029577,-0.000799,0.024115,-51.05
1348287552,-8.221688,0.179565,-3.244143,-0.027446,-0.003464,0.023182,-50.07
1348297558,-8.207323,0.119710,-3.349488,-0.027179,0.000666,0.026380,-49.94
